totim,time_step,stress_period,name,ZONE_1
609.0,0,20,TOTAL_OUT,126858.46
609.0,0,20,IN-OUT,348234.03
609.0,0,20,PERCENT_DISCREPANCY,115.701805
639.0,0,21,FROM_STORAGE,140598.08
639.0,0,21,FROM_CONSTANT_HEAD,30538.604
639.0,0,21,FROM_DRAINS,0.0
639.0,0,21,FROM_RECHARGE,300949.5
639.0,0,21,FROM_ZONE_0,0.0
639.0,0,21,FROM_ZONE_1,0.0
639.0,0,21,TOTAL_IN,472086.2
639.0,0,21,TO_STORAGE,0.55473316
639.0,0,21,TO_CONSTANT_HEAD,0.0
639.0,0,21,TO_DRAINS,123859.09
639.0,0,21,TO_RECHARGE,0.0
639.0,0,21,TO_ZONE_0,0.0
639.0,0,21,TO_ZONE_1,0.0
639.0,0,21,TOTAL_OUT,123859.65
639.0,0,21,IN-OUT,348226.53
639.0,0,21,PERCENT_DISCREPANCY,116.865166
670.0,0,22,FROM_STORAGE,138152.34
670.0,0,22,FROM_CONSTANT_HEAD,30548.602
670.0,0,22,FROM_DRAINS,0.0
670.0,0,22,FROM_RECHARGE,300949.5
670.0,0,22,FROM_ZONE_0,0.0
670.0,0,22,FROM_ZONE_1,0.0
670.0,0,22,TOTAL_IN,469650.44
670.0,0,22,TO_STORAGE,0.5044192
670.0,0,22,TO_CONSTANT_HEAD,0.0
670.0,0,22,TO_DRAINS,121428.93
670.0,0,22,TO_RECHARGE,0.0
670.0,0,22,TO_ZONE_0,0.0
670.0,0,22,TO_ZONE_1,0.0
670.0,0,22,TOTAL_OUT,121429.44
670.0,0,22,IN-OUT,348221.0
670.0,0,22,PERCENT_DISCREPANCY,117.82536
700.0,0,23,FROM_STORAGE,135927.27
700.0,0,23,FROM_CONSTANT_HEAD,30557.379
700.0,0,23,FROM_DRAINS,0.0
700.0,0,23,FROM_RECHARGE,300949.5
700.0,0,23,FROM_ZONE_0,0.0
700.0,0,23,FROM_ZONE_1,0.0
700.0,0,23,TOTAL_IN,467434.12
700.0,0,23,TO_STORAGE,0.45924145
700.0,0,23,TO_CONSTANT_HEAD,0.0
700.0,0,23,TO_DRAINS,119216.805
700.0,0,23,TO_RECHARGE,0.0
700.0,0,23,TO_ZONE_0,0.0
700.0,0,23,TO_ZONE_1,0.0
700.0,0,23,TOTAL_OUT,119217.266
700.0,0,23,IN-OUT,348216.88
700.0,0,23,PERCENT_DISCREPANCY,118.713394
731.0,0,24,FROM_STORAGE,133774.7
731.0,0,24,FROM_CONSTANT_HEAD,30566.441
731.0,0,24,FROM_DRAINS,0.0
731.0,0,24,FROM_RECHARGE,300949.5
731.0,0,24,FROM_ZONE_0,0.0
731.0,0,24,FROM_ZONE_1,0.0
731.0,0,24,TOTAL_IN,465290.62
731.0,0,24,TO_STORAGE,0.4162566
731.0,0,24,TO_CONSTANT_HEAD,0.0
731.0,0,24,TO_DRAINS,117076.79
731.0,0,24,TO_RECHARGE,0.0
731.0,0,24,TO_ZONE_0,0.0
731.0,0,24,TO_ZONE_1,0.0
731.0,0,24,TOTAL_OUT,117077.2
731.0,0,24,IN-OUT,348213.44
731.0,0,24,PERCENT_DISCREPANCY,119.5854
762.0,0,25,FROM_STORAGE,160976.45
762.0,0,25,FROM_CONSTANT_HEAD,30534.832
762.0,0,25,FROM_DRAINS,0.0
762.0,0,25,FROM_RECHARGE,293418.75
762.0,0,25,FROM_ZONE_0,0.0
762.0,0,25,FROM_ZONE_1,0.0
762.0,0,25,TOTAL_IN,484930.03
762.0,0,25,TO_STORAGE,2698.8555
762.0,0,25,TO_CONSTANT_HEAD,0.0
762.0,0,25,TO_DRAINS,113827.36
762.0,0,25,TO_RECHARGE,0.0
762.0,0,25,TO_ZONE_0,0.0
762.0,0,25,TO_ZONE_1,0.0
762.0,0,25,TOTAL_OUT,116526.22
762.0,0,25,IN-OUT,368403.8
762.0,0,25,PERCENT_DISCREPANCY,122.50394
790.0,0,26,FROM_STORAGE,157472.58
790.0,0,26,FROM_CONSTANT_HEAD,30523.047
790.0,0,26,FROM_DRAINS,0.0
790.0,0,26,FROM_RECHARGE,293418.75
790.0,0,26,FROM_ZONE_0,0.0
790.0,0,26,FROM_ZONE_1,0.0
790.0,0,26,TOTAL_IN,481414.38
790.0,0,26,TO_STORAGE,1830.5809
790.0,0,26,TO_CONSTANT_HEAD,0.0
790.0,0,26,TO_DRAINS,111184.52
790.0,0,26,TO_RECHARGE,0.0
790.0,0,26,TO_ZONE_0,0.0
790.0,0,26,TO_ZONE_1,0.0
790.0,0,26,TOTAL_OUT,113015.1
790.0,0,26,IN-OUT,368399.28
790.0,0,26,PERCENT_DISCREPANCY,123.95054
821.0,0,27,FROM_STORAGE,154127.86
821.0,0,27,FROM_CONSTANT_HEAD,30517.576
821.0,0,27,FROM_DRAINS,0.0
821.0,0,27,FROM_RECHARGE,293418.75
821.0,0,27,FROM_ZONE_0,0.0
821.0,0,27,FROM_ZONE_1,0.0
821.0,0,27,TOTAL_IN,478064.2
821.0,0,27,TO_STORAGE,1274.1885
821.0,0,27,TO_CONSTANT_HEAD,0.0
821.0,0,27,TO_DRAINS,108394.49
821.0,0,27,TO_RECHARGE,0.0
821.0,0,27,TO_ZONE_0,0.0
821.0,0,27,TO_ZONE_1,0.0
821.0,0,27,TOTAL_OUT,109668.68
821.0,0,27,IN-OUT,368395.5
821.0,0,27,PERCENT_DISCREPANCY,125.36155
